,pr_number,po_number,pr_po_no,uid_number,activity,date,item,item_line,po_line,gr_number,gr_line,inv_line,wf_line
0,21854769,5620498667,,,PR Purchase Request,20240101 19:31:45.000000,120,['i2081'],,0,,,
1,4120342497,5620505709,,,PR Purchase Request,20240102 16:44:35.000000,60,['i2203'],,0,,,
2,4120466585,5620505659,,,PR Purchase Request,20240102 18:41:55.000000,60,['i2195'],,0,,,
3,4120445234,5620505716,,,PR Purchase Request,20240102 00:58:52.000000,140,['i2205'],,0,,,
4,4120359278,0,,,PR Cancelled,20240102 22:17:52.000000,50,['i4'],,0,,,
5,4121134205,5620500956,,,PR Purchase Request,20240102 01:51:31.000000,10,['i2115'],,0,,,
6,21854858,5620505645,,,PR Purchase Request,20240102 07:26:33.000000,20,['i2189'],,0,,,
7,4121133892,5620500879,,,PR Purchase Request,20240102 07:36:27.000000,10,['i2113'],,0,,,
8,4121133891,5620500879,,,PR Purchase Request,20240102 07:57:08.000000,10,['i2113'],,0,,,
9,4120489552,5620505719,,,PR Purchase Request,20240102 08:56:20.000000,30,['i2207'],,0,,,
10,4121133744,5811271088,,,PR Purchase Request,20240102 10:07:41.000000,10,['i75353'],,0,,,
11,4121133705,5620500956,,,PR Purchase Request,20240102 10:28:25.000000,10,['i2115'],,0,,,
12,4121133624,5620500956,,,PR Purchase Request,20240102 12:07:25.000000,10,['i2115'],,0,,,
13,4121133589,5620500994,,,PR Purchase Request,20240102 12:20:40.000000,10,['i2120'],,0,,,
14,4121133569,5620500956,,,PR Purchase Request,20240102 12:49:08.000000,10,['i2115'],,0,,,
15,4121133240,5620500956,,,PR Purchase Request,20240102 13:10:59.000000,10,['i2115'],,0,,,
16,4120515578,5620505722,,,PR Purchase Request,20240102 13:53:31.000000,30,['i2209'],,0,,,
17,21830702,5620055836,,,PR Purchase Request,20240102 14:33:01.000000,20,['i811'],,0,,,
18,4120615629,5620505757,,,PR Purchase Request,20240102 14:35:14.000000,30,['i2212'],,0,,,
